title,mc_score,release,mc_url,steam_url
Octodad: Dadliest Catch,69,2014-01-30,http://www.metacritic.com/game/pc/octodad-dadliest-catch,http://store.steampowered.com/app/224480
LEGO - The Hobbit,69,2014-04-08,http://www.metacritic.com/game/pc/lego-the-hobbit,http://store.steampowered.com/app/285160
Crimsonland,69,2014-06-11,http://www.metacritic.com/game/pc/crimsonland,http://store.steampowered.com/app/262830
Virtua Tennis 2009,68,2009-07-03,http://www.metacritic.com/game/pc/virtua-tennis-2009,http://store.steampowered.com/app/10690
Shank,67,2010-10-25,http://www.metacritic.com/game/pc/shank,http://store.steampowered.com/app/6120/
Kane and Lynch: Dead Men,67,2007-11-13,http://www.metacritic.com/game/pc/kane-lynch-dead-men,http://store.steampowered.com/app/8080/
The UnderGarden,67,2010-11-10,http://www.metacritic.com/game/pc/the-undergarden,http://store.steampowered.com/app/9980/
Painkiller Hell & Damnation,67,2012-10-31,http://www.metacritic.com/game/pc/painkiller-hell-damnation,http://store.steampowered.com/app/214870/
Pure Pool,67,2014-07-31,http://www.metacritic.com/game/pc/pure-pool,http://store.steampowered.com/app/300610
LEGO Indiana Jones 2: The Adventure Continues,66,2010-02-18,http://www.metacritic.com/game/pc/lego-indiana-jones-2-the-adventure-continues,http://store.steampowered.com/app/32450/
Armada 2526,66,2010-06-10,http://www.metacritic.com/game/pc/armada-2526,http://store.steampowered.com/app/46790/
Virtua Tennis 4,66,2011-06-24,http://www.metacritic.com/game/pc/virtua-tennis-4,http://store.steampowered.com/app/71390
Colour Bind,66,2012-09-24,http://www.metacritic.com/game/pc/colour-bind,http://store.steampowered.com/app/208710
The Yawhg,66,2013-05-30,http://www.metacritic.com/game/pc/the-yawhg,http://store.steampowered.com/app/269030
Flock,65,2009-04-07,http://www.metacritic.com/game/pc/flock,http://store.steampowered.com/app/21640
Dynasty Warriors 4,65,2005-12-09,http://www.metacritic.com/game/pc/dynasty-warriors-4-hyper,
A Virus Named TOM,65,2012-08-01,http://www.metacritic.com/game/pc/a-virus-named-tom,http://store.steampowered.com/app/207650
London 2012: The Official Video Game of the Olympi,65,2012-06-28,http://www.metacritic.com/game/pc/london-2012---the-official-video-game-of-the-olympic-games,http://store.steampowered.com/app/71420
Sonic & SEGA All-Stars Racing,65,2010-03-03,http://www.metacritic.com/game/pc/sonic-sega-all-stars-racing,http://store.steampowered.com/app/34190/
Acceleration of Suguri,64,2011-02-15,,
Tom Clancy's H.A.W.X. 2,64,2010-11-22,http://www.metacritic.com/game/pc/tom-clancys-hawx-2,http://store.steampowered.com/app/48160/
Pid,64,2012-10-31,http://www.metacritic.com/game/pc/pid,http://store.steampowered.com/app/218740
The Baconing,63,2012-08-31,http://www.metacritic.com/game/pc/the-baconing,http://store.steampowered.com/app/18070
Obscure,63,2005-04-06,http://www.metacritic.com/game/pc/obscure,http://store.steampowered.com/app/254460
Legend of Dungeon,62,2013-09-13,http://www.metacritic.com/game/pc/legend-of-dungeon,http://store.steampowered.com/app/238280
Contagion,62,2013-10-25,http://www.metacritic.com/game/pc/contagion,http://store.steampowered.com/app/238430
Goat Simulator,62,2014-04-01,http://www.metacritic.com/game/pc/goat-simulator,http://store.steampowered.com/app/265930
Watchmen: The End is Nigh,61,2009-03-04,http://www.metacritic.com/game/pc/watchmen-the-end-is-nigh,http://store.steampowered.com/app/21030/
Signal Ops,61,2013-04-02,http://www.metacritic.com/game/pc/signal-ops,http://store.steampowered.com/app/257770
Magic: The Gathering - Duels of the Planeswalkers,60,2012-06-20,http://www.metacritic.com/game/pc/magic-the-gathering---duels-of-the-planeswalkers-2013,http://store.steampowered.com/app/97330
Storm over the Pacific,60,2014-06-27,http://www.metacritic.com/game/pc/pacific-storm-allies,http://store.steampowered.com/app/302320
Dusty Revenge:Co-Op Edition,60,2014-02-17,http://www.metacritic.com/game/pc/dusty-revenge,http://store.steampowered.com/app/252430/
Rush Bros.,59,2013-05-24,http://www.metacritic.com/game/pc/rush-bros,http://store.steampowered.com/app/234490/?snr=1_4_4__tab-NewReleasesFilteredDLC_2
How to Survive,59,2013-10-23,http://www.metacritic.com/game/pc/how-to-survive,http://store.steampowered.com/app/250400
Obscure 2,59,2008-05-25,http://www.metacritic.com/game/pc/obscure-the-aftermath,http://store.steampowered.com/app/254480
All Zombies Must Die!,58,2011-03-12,http://www.metacritic.com/game/pc/all-zombies-must-die!,http://store.steampowered.com/app/204140
Micro Machines V4,57,2006-06-30,http://www.metacritic.com/game/pc/micro-machines-v4,
Two Brothers,57,2013-11-03,http://www.metacritic.com/game/pc/two-brothers,http://store.steampowered.com/app/259760
Sacred 3,57,2014-07-31,http://www.metacritic.com/game/pc/sacred-3,http://store.steampowered.com/app/247950
Shrek Forever After,56,2010-08-27,http://www.metacritic.com/game/pc/shrek-forever-after,http://store.steampowered.com/app/42660/
Bet On Soldier,56,2005-09-26,http://www.metacritic.com/game/pc/bet-on-soldier-blood-sport,http://store.steampowered.com/app/335320/
The Cursed Crusade,55,2011-10-25,http://www.metacritic.com/game/pc/the-cursed-crusade,http://store.steampowered.com/app/901799/
Terminator Salvation,49,2009-05-09,http://www.metacritic.com/game/pc/terminator-salvation,http://store.steampowered.com/app/21080/
Cortex Command,48,2012-09-28,http://www.metacritic.com/game/pc/cortex-command,http://store.steampowered.com/app/209670
Star Wars Clone Wars: Republic Heroes,46,2009-10-06,http://www.metacritic.com/game/pc/star-wars-the-clone-wars-republic-heroes,http://store.steampowered.com/app/32420/
Dead Horde,45,2011-07-27,http://www.metacritic.com/game/pc/dead-horde,http://store.steampowered.com/app/27940
Watchmen: The End Is Nigh Part 2,44,2009-07-29,http://www.metacritic.com/game/pc/watchmen-the-end-is-nigh-part-2,http://store.steampowered.com/app/21030/
The Expendables 2 Videogame,42,2012-08-20,http://www.metacritic.com/game/pc/the-expendables-2-videogame,http://store.steampowered.com/app/204510
RAW - Realms of Ancient War,41,2012-10-11,http://www.metacritic.com/game/pc/realms-of-ancient-war,http://store.steampowered.com/app/209730
Legends of Pegasus,35,2012-08-10,http://www.metacritic.com/game/pc/legends-of-pegasus,http://store.steampowered.com/app/205590
Rambo The Video Game,34,2014-02-21,http://www.metacritic.com/game/pc/rambo-the-video-game,http://store.steampowered.com/app/274130/
The Asskickers-Steam Edition,31,2015-02-06,http://www.metacritic.com/game/pc/the-asskickers,http://store.steampowered.com/app/348650
Gauntlet,69,2014-09-23,http://www.metacritic.com/game/pc/gauntlet,http://store.steampowered.com/app/258970
Dollar Dash,,2013-03-06,http://www.metacritic.com/game/pc/dollar-dash,http://store.steampowered.com/app/214320/
Ghostbusters: Sanctum of Slime,,2011-03-23,http://www.metacritic.com/game/pc/ghostbusters-sanctum-of-slime,http://store.steampowered.com/app/9990/
LEGO Star Wars III: The Clone Wars,,2011-03-22,http://www.metacritic.com/game/pc/lego-star-wars-iii-the-clone-wars,http://store.steampowered.com/app/32510/
Heli Heroes,,2002-01-29,,
Gatling Gears,,2011-05-11,http://www.metacritic.com/game/pc,
Atomic Bomberman,,1997-07-31,http://www.metacritic.com/game/pc/atomic-bomberman?recent-sort=userscore,
Lego Racers,,1999-07-31,http://www.metacritic.com/game/pc/lego-racers,
Lego Racers 2,,2001-10-04,http://www.metacritic.com/game/pc/lego-racers-2,
Jazz Jackrabbit 2,,1998-07-31,http://www.metacritic.com/game/pc/jazz-jackrabbit-2,
Future Cop: L.A.P.D.,,1998-01-01,http://www.metacritic.com/game/pc,
Capsized,,2011-04-29,http://www.metacritic.com/game/pc/capsized,http://store.steampowered.com/app/95300
